,Player,selector1-href,Date,From club,To club,Date of birth,Age,National player,International matches,Market value,Posición,from_club_path,final_club_path,final_team,from_pais,to_pais,final_country,path_country
6397,Jocyfer Castro,https://www.transfermarkt.com/jocyfer-castro/profil/spieler/300396,2015-07-01,Herediano U20,Juv. Escazuceña,"Mar 11, 1995 ",25.0,No national team players,-,-,Midfielder,"Limón U17,Belén,Herediano U20,Belén FC,Herediano U20,Juv. Escazuceña,ADR Jicaral,AD Santa Rosa,Mpl. San Ramón,Puntarenas FC,AD Carmelita","Belén,Herediano U20,Belén FC,Herediano U20,Juv. Escazuceña,ADR Jicaral,AD Santa Rosa,Mpl. San Ramón,Puntarenas FC,AD Carmelita,Puntarenas FC",Puntarenas FC,Costa Rica,Costa Rica,Costa Rica,"Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica"
6403,Jocyfer Castro,https://www.transfermarkt.com/jocyfer-castro/profil/spieler/300396,2016-01-01,Juv. Escazuceña,ADR Jicaral,"Mar 11, 1995 ",25.0,No national team players,-,-,Midfielder,"Limón U17,Belén,Herediano U20,Belén FC,Herediano U20,Juv. Escazuceña,ADR Jicaral,AD Santa Rosa,Mpl. San Ramón,Puntarenas FC,AD Carmelita","Belén,Herediano U20,Belén FC,Herediano U20,Juv. Escazuceña,ADR Jicaral,AD Santa Rosa,Mpl. San Ramón,Puntarenas FC,AD Carmelita,Puntarenas FC",Puntarenas FC,Costa Rica,Costa Rica,Costa Rica,"Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica"
6482,Jocyfer Castro,https://www.transfermarkt.com/jocyfer-castro/profil/spieler/300396,2016-07-01,ADR Jicaral,AD Santa Rosa,"Mar 11, 1995 ",25.0,No national team players,-,-,Midfielder,"Limón U17,Belén,Herediano U20,Belén FC,Herediano U20,Juv. Escazuceña,ADR Jicaral,AD Santa Rosa,Mpl. San Ramón,Puntarenas FC,AD Carmelita","Belén,Herediano U20,Belén FC,Herediano U20,Juv. Escazuceña,ADR Jicaral,AD Santa Rosa,Mpl. San Ramón,Puntarenas FC,AD Carmelita,Puntarenas FC",Puntarenas FC,Costa Rica,Costa Rica,Costa Rica,"Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica"
6477,Jocyfer Castro,https://www.transfermarkt.com/jocyfer-castro/profil/spieler/300396,2017-01-01,AD Santa Rosa,Mpl. San Ramón,"Mar 11, 1995 ",25.0,No national team players,-,-,Midfielder,"Limón U17,Belén,Herediano U20,Belén FC,Herediano U20,Juv. Escazuceña,ADR Jicaral,AD Santa Rosa,Mpl. San Ramón,Puntarenas FC,AD Carmelita","Belén,Herediano U20,Belén FC,Herediano U20,Juv. Escazuceña,ADR Jicaral,AD Santa Rosa,Mpl. San Ramón,Puntarenas FC,AD Carmelita,Puntarenas FC",Puntarenas FC,Costa Rica,Costa Rica,Costa Rica,"Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica"
6447,Jocyfer Castro,https://www.transfermarkt.com/jocyfer-castro/profil/spieler/300396,2017-07-01,Mpl. San Ramón,Puntarenas FC,"Mar 11, 1995 ",25.0,No national team players,-,-,Midfielder,"Limón U17,Belén,Herediano U20,Belén FC,Herediano U20,Juv. Escazuceña,ADR Jicaral,AD Santa Rosa,Mpl. San Ramón,Puntarenas FC,AD Carmelita","Belén,Herediano U20,Belén FC,Herediano U20,Juv. Escazuceña,ADR Jicaral,AD Santa Rosa,Mpl. San Ramón,Puntarenas FC,AD Carmelita,Puntarenas FC",Puntarenas FC,Costa Rica,Costa Rica,Costa Rica,"Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica"
6379,Jocyfer Castro,https://www.transfermarkt.com/jocyfer-castro/profil/spieler/300396,2019-07-01,Puntarenas FC,AD Carmelita,"Mar 11, 1995 ",25.0,No national team players,-,-,Midfielder,"Limón U17,Belén,Herediano U20,Belén FC,Herediano U20,Juv. Escazuceña,ADR Jicaral,AD Santa Rosa,Mpl. San Ramón,Puntarenas FC,AD Carmelita","Belén,Herediano U20,Belén FC,Herediano U20,Juv. Escazuceña,ADR Jicaral,AD Santa Rosa,Mpl. San Ramón,Puntarenas FC,AD Carmelita,Puntarenas FC",Puntarenas FC,Costa Rica,Costa Rica,Costa Rica,"Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica"
6412,Jocyfer Castro,https://www.transfermarkt.com/jocyfer-castro/profil/spieler/300396,2020-07-17,AD Carmelita,Puntarenas FC,"Mar 11, 1995 ",25.0,No national team players,-,-,Midfielder,"Limón U17,Belén,Herediano U20,Belén FC,Herediano U20,Juv. Escazuceña,ADR Jicaral,AD Santa Rosa,Mpl. San Ramón,Puntarenas FC,AD Carmelita","Belén,Herediano U20,Belén FC,Herediano U20,Juv. Escazuceña,ADR Jicaral,AD Santa Rosa,Mpl. San Ramón,Puntarenas FC,AD Carmelita,Puntarenas FC",Puntarenas FC,Costa Rica,Costa Rica,Costa Rica,"Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica"
7366,Joel Campbell,https://www.transfermarkt.com/joel-campbell/profil/spieler/131248,2010-01-01,Saprissa U17,Saprissa,"Jun 26, 1992 ",28.0,Costa RicaNo current national team players,93,€2.00m,Right Winger,"Saprissa U17,Saprissa,Puntarenas FC,Saprissa,Arsenal,FC Lorient,Arsenal,Real Betis,Arsenal,Olympiacos,Arsenal,Villarreal,Arsenal,Sporting CP,Arsenal,Real Betis,Arsenal,Frosinone,León,Frosinone","Saprissa,Puntarenas FC,Saprissa,Arsenal,FC Lorient,Arsenal,Real Betis,Arsenal,Olympiacos,Arsenal,Villarreal,Arsenal,Sporting CP,Arsenal,Real Betis,Arsenal,Frosinone,León,Frosinone,León",León,Costa Rica,Costa Rica,MX,"Costa Rica,Costa Rica,Costa Rica,Costa Rica,Inglaterra,Francia,Inglaterra,España,Inglaterra,Grecia,Inglaterra,España,Inglaterra,Portugal,Inglaterra,España,Inglaterra,Italia,MX,Italia"
7365,Joel Campbell,https://www.transfermarkt.com/joel-campbell/profil/spieler/131248,2011-02-01,Saprissa,Puntarenas FC,"Jun 26, 1992 ",28.0,Costa RicaNo current national team players,93,€2.00m,Right Winger,"Saprissa U17,Saprissa,Puntarenas FC,Saprissa,Arsenal,FC Lorient,Arsenal,Real Betis,Arsenal,Olympiacos,Arsenal,Villarreal,Arsenal,Sporting CP,Arsenal,Real Betis,Arsenal,Frosinone,León,Frosinone","Saprissa,Puntarenas FC,Saprissa,Arsenal,FC Lorient,Arsenal,Real Betis,Arsenal,Olympiacos,Arsenal,Villarreal,Arsenal,Sporting CP,Arsenal,Real Betis,Arsenal,Frosinone,León,Frosinone,León",León,Costa Rica,Costa Rica,MX,"Costa Rica,Costa Rica,Costa Rica,Costa Rica,Inglaterra,Francia,Inglaterra,España,Inglaterra,Grecia,Inglaterra,España,Inglaterra,Portugal,Inglaterra,España,Inglaterra,Italia,MX,Italia"
7367,Joel Campbell,https://www.transfermarkt.com/joel-campbell/profil/spieler/131248,2011-06-30,Puntarenas FC,Saprissa,"Jun 26, 1992 ",28.0,Costa RicaNo current national team players,93,€2.00m,Right Winger,"Saprissa U17,Saprissa,Puntarenas FC,Saprissa,Arsenal,FC Lorient,Arsenal,Real Betis,Arsenal,Olympiacos,Arsenal,Villarreal,Arsenal,Sporting CP,Arsenal,Real Betis,Arsenal,Frosinone,León,Frosinone","Saprissa,Puntarenas FC,Saprissa,Arsenal,FC Lorient,Arsenal,Real Betis,Arsenal,Olympiacos,Arsenal,Villarreal,Arsenal,Sporting CP,Arsenal,Real Betis,Arsenal,Frosinone,León,Frosinone,León",León,Costa Rica,Costa Rica,MX,"Costa Rica,Costa Rica,Costa Rica,Costa Rica,Inglaterra,Francia,Inglaterra,España,Inglaterra,Grecia,Inglaterra,España,Inglaterra,Portugal,Inglaterra,España,Inglaterra,Italia,MX,Italia"
7368,Joel Campbell,https://www.transfermarkt.com/joel-campbell/profil/spieler/131248,2011-08-12,Saprissa,Arsenal,"Jun 26, 1992 ",28.0,Costa RicaNo current national team players,93,€2.00m,Right Winger,"Saprissa U17,Saprissa,Puntarenas FC,Saprissa,Arsenal,FC Lorient,Arsenal,Real Betis,Arsenal,Olympiacos,Arsenal,Villarreal,Arsenal,Sporting CP,Arsenal,Real Betis,Arsenal,Frosinone,León,Frosinone","Saprissa,Puntarenas FC,Saprissa,Arsenal,FC Lorient,Arsenal,Real Betis,Arsenal,Olympiacos,Arsenal,Villarreal,Arsenal,Sporting CP,Arsenal,Real Betis,Arsenal,Frosinone,León,Frosinone,León",León,Costa Rica,Inglaterra,MX,"Costa Rica,Costa Rica,Costa Rica,Costa Rica,Inglaterra,Francia,Inglaterra,España,Inglaterra,Grecia,Inglaterra,España,Inglaterra,Portugal,Inglaterra,España,Inglaterra,Italia,MX,Italia"
7377,Joel Campbell,https://www.transfermarkt.com/joel-campbell/profil/spieler/131248,2011-08-30,Arsenal,FC Lorient,"Jun 26, 1992 ",28.0,Costa RicaNo current national team players,93,€2.00m,Right Winger,"Saprissa U17,Saprissa,Puntarenas FC,Saprissa,Arsenal,FC Lorient,Arsenal,Real Betis,Arsenal,Olympiacos,Arsenal,Villarreal,Arsenal,Sporting CP,Arsenal,Real Betis,Arsenal,Frosinone,León,Frosinone","Saprissa,Puntarenas FC,Saprissa,Arsenal,FC Lorient,Arsenal,Real Betis,Arsenal,Olympiacos,Arsenal,Villarreal,Arsenal,Sporting CP,Arsenal,Real Betis,Arsenal,Frosinone,León,Frosinone,León",León,Inglaterra,Francia,MX,"Costa Rica,Costa Rica,Costa Rica,Costa Rica,Inglaterra,Francia,Inglaterra,España,Inglaterra,Grecia,Inglaterra,España,Inglaterra,Portugal,Inglaterra,España,Inglaterra,Italia,MX,Italia"
7369,Joel Campbell,https://www.transfermarkt.com/joel-campbell/profil/spieler/131248,2012-06-30,FC Lorient,Arsenal,"Jun 26, 1992 ",28.0,Costa RicaNo current national team players,93,€2.00m,Right Winger,"Saprissa U17,Saprissa,Puntarenas FC,Saprissa,Arsenal,FC Lorient,Arsenal,Real Betis,Arsenal,Olympiacos,Arsenal,Villarreal,Arsenal,Sporting CP,Arsenal,Real Betis,Arsenal,Frosinone,León,Frosinone","Saprissa,Puntarenas FC,Saprissa,Arsenal,FC Lorient,Arsenal,Real Betis,Arsenal,Olympiacos,Arsenal,Villarreal,Arsenal,Sporting CP,Arsenal,Real Betis,Arsenal,Frosinone,León,Frosinone,León",León,Francia,Inglaterra,MX,"Costa Rica,Costa Rica,Costa Rica,Costa Rica,Inglaterra,Francia,Inglaterra,España,Inglaterra,Grecia,Inglaterra,España,Inglaterra,Portugal,Inglaterra,España,Inglaterra,Italia,MX,Italia"
7378,Joel Campbell,https://www.transfermarkt.com/joel-campbell/profil/spieler/131248,2012-07-05,Arsenal,Real Betis,"Jun 26, 1992 ",28.0,Costa RicaNo current national team players,93,€2.00m,Right Winger,"Saprissa U17,Saprissa,Puntarenas FC,Saprissa,Arsenal,FC Lorient,Arsenal,Real Betis,Arsenal,Olympiacos,Arsenal,Villarreal,Arsenal,Sporting CP,Arsenal,Real Betis,Arsenal,Frosinone,León,Frosinone","Saprissa,Puntarenas FC,Saprissa,Arsenal,FC Lorient,Arsenal,Real Betis,Arsenal,Olympiacos,Arsenal,Villarreal,Arsenal,Sporting CP,Arsenal,Real Betis,Arsenal,Frosinone,León,Frosinone,León",León,Inglaterra,España,MX,"Costa Rica,Costa Rica,Costa Rica,Costa Rica,Inglaterra,Francia,Inglaterra,España,Inglaterra,Grecia,Inglaterra,España,Inglaterra,Portugal,Inglaterra,España,Inglaterra,Italia,MX,Italia"
7370,Joel Campbell,https://www.transfermarkt.com/joel-campbell/profil/spieler/131248,2013-06-30,Real Betis,Arsenal,"Jun 26, 1992 ",28.0,Costa RicaNo current national team players,93,€2.00m,Right Winger,"Saprissa U17,Saprissa,Puntarenas FC,Saprissa,Arsenal,FC Lorient,Arsenal,Real Betis,Arsenal,Olympiacos,Arsenal,Villarreal,Arsenal,Sporting CP,Arsenal,Real Betis,Arsenal,Frosinone,León,Frosinone","Saprissa,Puntarenas FC,Saprissa,Arsenal,FC Lorient,Arsenal,Real Betis,Arsenal,Olympiacos,Arsenal,Villarreal,Arsenal,Sporting CP,Arsenal,Real Betis,Arsenal,Frosinone,León,Frosinone,León",León,España,Inglaterra,MX,"Costa Rica,Costa Rica,Costa Rica,Costa Rica,Inglaterra,Francia,Inglaterra,España,Inglaterra,Grecia,Inglaterra,España,Inglaterra,Portugal,Inglaterra,España,Inglaterra,Italia,MX,Italia"
7380,Joel Campbell,https://www.transfermarkt.com/joel-campbell/profil/spieler/131248,2013-07-27,Arsenal,Olympiacos,"Jun 26, 1992 ",28.0,Costa RicaNo current national team players,93,€2.00m,Right Winger,"Saprissa U17,Saprissa,Puntarenas FC,Saprissa,Arsenal,FC Lorient,Arsenal,Real Betis,Arsenal,Olympiacos,Arsenal,Villarreal,Arsenal,Sporting CP,Arsenal,Real Betis,Arsenal,Frosinone,León,Frosinone","Saprissa,Puntarenas FC,Saprissa,Arsenal,FC Lorient,Arsenal,Real Betis,Arsenal,Olympiacos,Arsenal,Villarreal,Arsenal,Sporting CP,Arsenal,Real Betis,Arsenal,Frosinone,León,Frosinone,León",León,Inglaterra,Grecia,MX,"Costa Rica,Costa Rica,Costa Rica,Costa Rica,Inglaterra,Francia,Inglaterra,España,Inglaterra,Grecia,Inglaterra,España,Inglaterra,Portugal,Inglaterra,España,Inglaterra,Italia,MX,Italia"
7372,Joel Campbell,https://www.transfermarkt.com/joel-campbell/profil/spieler/131248,2014-06-30,Olympiacos,Arsenal,"Jun 26, 1992 ",28.0,Costa RicaNo current national team players,93,€2.00m,Right Winger,"Saprissa U17,Saprissa,Puntarenas FC,Saprissa,Arsenal,FC Lorient,Arsenal,Real Betis,Arsenal,Olympiacos,Arsenal,Villarreal,Arsenal,Sporting CP,Arsenal,Real Betis,Arsenal,Frosinone,León,Frosinone","Saprissa,Puntarenas FC,Saprissa,Arsenal,FC Lorient,Arsenal,Real Betis,Arsenal,Olympiacos,Arsenal,Villarreal,Arsenal,Sporting CP,Arsenal,Real Betis,Arsenal,Frosinone,León,Frosinone,León",León,Grecia,Inglaterra,MX,"Costa Rica,Costa Rica,Costa Rica,Costa Rica,Inglaterra,Francia,Inglaterra,España,Inglaterra,Grecia,Inglaterra,España,Inglaterra,Portugal,Inglaterra,España,Inglaterra,Italia,MX,Italia"
7381,Joel Campbell,https://www.transfermarkt.com/joel-campbell/profil/spieler/131248,2015-01-27,Arsenal,Villarreal,"Jun 26, 1992 ",28.0,Costa RicaNo current national team players,93,€2.00m,Right Winger,"Saprissa U17,Saprissa,Puntarenas FC,Saprissa,Arsenal,FC Lorient,Arsenal,Real Betis,Arsenal,Olympiacos,Arsenal,Villarreal,Arsenal,Sporting CP,Arsenal,Real Betis,Arsenal,Frosinone,León,Frosinone","Saprissa,Puntarenas FC,Saprissa,Arsenal,FC Lorient,Arsenal,Real Betis,Arsenal,Olympiacos,Arsenal,Villarreal,Arsenal,Sporting CP,Arsenal,Real Betis,Arsenal,Frosinone,León,Frosinone,León",León,Inglaterra,España,MX,"Costa Rica,Costa Rica,Costa Rica,Costa Rica,Inglaterra,Francia,Inglaterra,España,Inglaterra,Grecia,Inglaterra,España,Inglaterra,Portugal,Inglaterra,España,Inglaterra,Italia,MX,Italia"
7373,Joel Campbell,https://www.transfermarkt.com/joel-campbell/profil/spieler/131248,2015-06-30,Villarreal,Arsenal,"Jun 26, 1992 ",28.0,Costa RicaNo current national team players,93,€2.00m,Right Winger,"Saprissa U17,Saprissa,Puntarenas FC,Saprissa,Arsenal,FC Lorient,Arsenal,Real Betis,Arsenal,Olympiacos,Arsenal,Villarreal,Arsenal,Sporting CP,Arsenal,Real Betis,Arsenal,Frosinone,León,Frosinone","Saprissa,Puntarenas FC,Saprissa,Arsenal,FC Lorient,Arsenal,Real Betis,Arsenal,Olympiacos,Arsenal,Villarreal,Arsenal,Sporting CP,Arsenal,Real Betis,Arsenal,Frosinone,León,Frosinone,León",León,España,Inglaterra,MX,"Costa Rica,Costa Rica,Costa Rica,Costa Rica,Inglaterra,Francia,Inglaterra,España,Inglaterra,Grecia,Inglaterra,España,Inglaterra,Portugal,Inglaterra,España,Inglaterra,Italia,MX,Italia"
7382,Joel Campbell,https://www.transfermarkt.com/joel-campbell/profil/spieler/131248,2016-08-21,Arsenal,Sporting CP,"Jun 26, 1992 ",28.0,Costa RicaNo current national team players,93,€2.00m,Right Winger,"Saprissa U17,Saprissa,Puntarenas FC,Saprissa,Arsenal,FC Lorient,Arsenal,Real Betis,Arsenal,Olympiacos,Arsenal,Villarreal,Arsenal,Sporting CP,Arsenal,Real Betis,Arsenal,Frosinone,León,Frosinone","Saprissa,Puntarenas FC,Saprissa,Arsenal,FC Lorient,Arsenal,Real Betis,Arsenal,Olympiacos,Arsenal,Villarreal,Arsenal,Sporting CP,Arsenal,Real Betis,Arsenal,Frosinone,León,Frosinone,León",León,Inglaterra,Portugal,MX,"Costa Rica,Costa Rica,Costa Rica,Costa Rica,Inglaterra,Francia,Inglaterra,España,Inglaterra,Grecia,Inglaterra,España,Inglaterra,Portugal,Inglaterra,España,Inglaterra,Italia,MX,Italia"
7374,Joel Campbell,https://www.transfermarkt.com/joel-campbell/profil/spieler/131248,2017-06-30,Sporting CP,Arsenal,"Jun 26, 1992 ",28.0,Costa RicaNo current national team players,93,€2.00m,Right Winger,"Saprissa U17,Saprissa,Puntarenas FC,Saprissa,Arsenal,FC Lorient,Arsenal,Real Betis,Arsenal,Olympiacos,Arsenal,Villarreal,Arsenal,Sporting CP,Arsenal,Real Betis,Arsenal,Frosinone,León,Frosinone","Saprissa,Puntarenas FC,Saprissa,Arsenal,FC Lorient,Arsenal,Real Betis,Arsenal,Olympiacos,Arsenal,Villarreal,Arsenal,Sporting CP,Arsenal,Real Betis,Arsenal,Frosinone,León,Frosinone,León",León,Portugal,Inglaterra,MX,"Costa Rica,Costa Rica,Costa Rica,Costa Rica,Inglaterra,Francia,Inglaterra,España,Inglaterra,Grecia,Inglaterra,España,Inglaterra,Portugal,Inglaterra,España,Inglaterra,Italia,MX,Italia"
7379,Joel Campbell,https://www.transfermarkt.com/joel-campbell/profil/spieler/131248,2017-08-31,Arsenal,Real Betis,"Jun 26, 1992 ",28.0,Costa RicaNo current national team players,93,€2.00m,Right Winger,"Saprissa U17,Saprissa,Puntarenas FC,Saprissa,Arsenal,FC Lorient,Arsenal,Real Betis,Arsenal,Olympiacos,Arsenal,Villarreal,Arsenal,Sporting CP,Arsenal,Real Betis,Arsenal,Frosinone,León,Frosinone","Saprissa,Puntarenas FC,Saprissa,Arsenal,FC Lorient,Arsenal,Real Betis,Arsenal,Olympiacos,Arsenal,Villarreal,Arsenal,Sporting CP,Arsenal,Real Betis,Arsenal,Frosinone,León,Frosinone,León",León,Inglaterra,España,MX,"Costa Rica,Costa Rica,Costa Rica,Costa Rica,Inglaterra,Francia,Inglaterra,España,Inglaterra,Grecia,Inglaterra,España,Inglaterra,Portugal,Inglaterra,España,Inglaterra,Italia,MX,Italia"
7371,Joel Campbell,https://www.transfermarkt.com/joel-campbell/profil/spieler/131248,2018-06-30,Real Betis,Arsenal,"Jun 26, 1992 ",28.0,Costa RicaNo current national team players,93,€2.00m,Right Winger,"Saprissa U17,Saprissa,Puntarenas FC,Saprissa,Arsenal,FC Lorient,Arsenal,Real Betis,Arsenal,Olympiacos,Arsenal,Villarreal,Arsenal,Sporting CP,Arsenal,Real Betis,Arsenal,Frosinone,León,Frosinone","Saprissa,Puntarenas FC,Saprissa,Arsenal,FC Lorient,Arsenal,Real Betis,Arsenal,Olympiacos,Arsenal,Villarreal,Arsenal,Sporting CP,Arsenal,Real Betis,Arsenal,Frosinone,León,Frosinone,León",León,España,Inglaterra,MX,"Costa Rica,Costa Rica,Costa Rica,Costa Rica,Inglaterra,Francia,Inglaterra,España,Inglaterra,Grecia,Inglaterra,España,Inglaterra,Portugal,Inglaterra,España,Inglaterra,Italia,MX,Italia"
7383,Joel Campbell,https://www.transfermarkt.com/joel-campbell/profil/spieler/131248,2018-08-17,Arsenal,Frosinone,"Jun 26, 1992 ",28.0,Costa RicaNo current national team players,93,€2.00m,Right Winger,"Saprissa U17,Saprissa,Puntarenas FC,Saprissa,Arsenal,FC Lorient,Arsenal,Real Betis,Arsenal,Olympiacos,Arsenal,Villarreal,Arsenal,Sporting CP,Arsenal,Real Betis,Arsenal,Frosinone,León,Frosinone","Saprissa,Puntarenas FC,Saprissa,Arsenal,FC Lorient,Arsenal,Real Betis,Arsenal,Olympiacos,Arsenal,Villarreal,Arsenal,Sporting CP,Arsenal,Real Betis,Arsenal,Frosinone,León,Frosinone,León",León,Inglaterra,Italia,MX,"Costa Rica,Costa Rica,Costa Rica,Costa Rica,Inglaterra,Francia,Inglaterra,España,Inglaterra,Grecia,Inglaterra,España,Inglaterra,Portugal,Inglaterra,España,Inglaterra,Italia,MX,Italia"
7375,Joel Campbell,https://www.transfermarkt.com/joel-campbell/profil/spieler/131248,2019-01-25,Frosinone,León,"Jun 26, 1992 ",28.0,Costa RicaNo current national team players,93,€2.00m,Right Winger,"Saprissa U17,Saprissa,Puntarenas FC,Saprissa,Arsenal,FC Lorient,Arsenal,Real Betis,Arsenal,Olympiacos,Arsenal,Villarreal,Arsenal,Sporting CP,Arsenal,Real Betis,Arsenal,Frosinone,León,Frosinone","Saprissa,Puntarenas FC,Saprissa,Arsenal,FC Lorient,Arsenal,Real Betis,Arsenal,Olympiacos,Arsenal,Villarreal,Arsenal,Sporting CP,Arsenal,Real Betis,Arsenal,Frosinone,León,Frosinone,León",León,Italia,MX,MX,"Costa Rica,Costa Rica,Costa Rica,Costa Rica,Inglaterra,Francia,Inglaterra,España,Inglaterra,Grecia,Inglaterra,España,Inglaterra,Portugal,Inglaterra,España,Inglaterra,Italia,MX,Italia"
7384,Joel Campbell,https://www.transfermarkt.com/joel-campbell/profil/spieler/131248,2020-06-30,León,Frosinone,"Jun 26, 1992 ",28.0,Costa RicaNo current national team players,93,€2.00m,Right Winger,"Saprissa U17,Saprissa,Puntarenas FC,Saprissa,Arsenal,FC Lorient,Arsenal,Real Betis,Arsenal,Olympiacos,Arsenal,Villarreal,Arsenal,Sporting CP,Arsenal,Real Betis,Arsenal,Frosinone,León,Frosinone","Saprissa,Puntarenas FC,Saprissa,Arsenal,FC Lorient,Arsenal,Real Betis,Arsenal,Olympiacos,Arsenal,Villarreal,Arsenal,Sporting CP,Arsenal,Real Betis,Arsenal,Frosinone,León,Frosinone,León",León,MX,Italia,MX,"Costa Rica,Costa Rica,Costa Rica,Costa Rica,Inglaterra,Francia,Inglaterra,España,Inglaterra,Grecia,Inglaterra,España,Inglaterra,Portugal,Inglaterra,España,Inglaterra,Italia,MX,Italia"
7376,Joel Campbell,https://www.transfermarkt.com/joel-campbell/profil/spieler/131248,2020-07-01,Frosinone,León,"Jun 26, 1992 ",28.0,Costa RicaNo current national team players,93,€2.00m,Right Winger,"Saprissa U17,Saprissa,Puntarenas FC,Saprissa,Arsenal,FC Lorient,Arsenal,Real Betis,Arsenal,Olympiacos,Arsenal,Villarreal,Arsenal,Sporting CP,Arsenal,Real Betis,Arsenal,Frosinone,León,Frosinone","Saprissa,Puntarenas FC,Saprissa,Arsenal,FC Lorient,Arsenal,Real Betis,Arsenal,Olympiacos,Arsenal,Villarreal,Arsenal,Sporting CP,Arsenal,Real Betis,Arsenal,Frosinone,León,Frosinone,León",León,Italia,MX,MX,"Costa Rica,Costa Rica,Costa Rica,Costa Rica,Inglaterra,Francia,Inglaterra,España,Inglaterra,Grecia,Inglaterra,España,Inglaterra,Portugal,Inglaterra,España,Inglaterra,Italia,MX,Italia"
4863,Joel Hall,https://www.transfermarkt.com/joel-hall/profil/spieler/215459,2014-07-01,UCR,Gen. Saprissa,"Aug 14, 1990 ",30.0,No national team players,-,-,Right Midfield,"UCR,Gen. Saprissa,Barrio México","Gen. Saprissa,Barrio México,Without Club",Without Club,Costa Rica,Costa Rica,Without Club,"Costa Rica,Costa Rica,Costa Rica"
4866,Joel Hall,https://www.transfermarkt.com/joel-hall/profil/spieler/215459,2015-01-01,Gen. Saprissa,Barrio México,"Aug 14, 1990 ",30.0,No national team players,-,-,Right Midfield,"UCR,Gen. Saprissa,Barrio México","Gen. Saprissa,Barrio México,Without Club",Without Club,Costa Rica,Costa Rica,Without Club,"Costa Rica,Costa Rica,Costa Rica"
4905,Joel Hall,https://www.transfermarkt.com/joel-hall/profil/spieler/215459,2015-07-01,Barrio México,Without Club,"Aug 14, 1990 ",30.0,No national team players,-,-,Right Midfield,"UCR,Gen. Saprissa,Barrio México","Gen. Saprissa,Barrio México,Without Club",Without Club,Costa Rica,Without Club,Without Club,"Costa Rica,Costa Rica,Costa Rica"
6582,Johan Bonilla,https://www.transfermarkt.com/johan-bonilla/profil/spieler/431126,2016-01-01,Herediano U20,CS Uruguay II,"May 30, 1996 ",24.0,No national team players,-,-,Attacking Midfield,"Herediano U20,CS Uruguay II,Herediano U20,Sp. San José,Herediano U20,Belén U20,Herediano U20,Diriangén FC,Herediano U20,Unknown,Walter Ferretti,Unknown","CS Uruguay II,Herediano U20,Sp. San José,Herediano U20,Belén U20,Herediano U20,Diriangén FC,Herediano U20,Unknown,Walter Ferretti,Unknown,Juv. Escazuceña",Juv. Escazuceña,Costa Rica,Costa Rica,Costa Rica,"Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Nicaragua,Costa Rica,Unknown,Nicaragua,Unknown"
6578,Johan Bonilla,https://www.transfermarkt.com/johan-bonilla/profil/spieler/431126,2016-06-30,CS Uruguay II,Herediano U20,"May 30, 1996 ",24.0,No national team players,-,-,Attacking Midfield,"Herediano U20,CS Uruguay II,Herediano U20,Sp. San José,Herediano U20,Belén U20,Herediano U20,Diriangén FC,Herediano U20,Unknown,Walter Ferretti,Unknown","CS Uruguay II,Herediano U20,Sp. San José,Herediano U20,Belén U20,Herediano U20,Diriangén FC,Herediano U20,Unknown,Walter Ferretti,Unknown,Juv. Escazuceña",Juv. Escazuceña,Costa Rica,Costa Rica,Costa Rica,"Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Nicaragua,Costa Rica,Unknown,Nicaragua,Unknown"
6573,Johan Bonilla,https://www.transfermarkt.com/johan-bonilla/profil/spieler/431126,2016-07-01,Herediano U20,Sp. San José,"May 30, 1996 ",24.0,No national team players,-,-,Attacking Midfield,"Herediano U20,CS Uruguay II,Herediano U20,Sp. San José,Herediano U20,Belén U20,Herediano U20,Diriangén FC,Herediano U20,Unknown,Walter Ferretti,Unknown","CS Uruguay II,Herediano U20,Sp. San José,Herediano U20,Belén U20,Herediano U20,Diriangén FC,Herediano U20,Unknown,Walter Ferretti,Unknown,Juv. Escazuceña",Juv. Escazuceña,Costa Rica,Costa Rica,Costa Rica,"Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Nicaragua,Costa Rica,Unknown,Nicaragua,Unknown"
