,Player,selector1-href,Date,From club,To club,Date of birth,Age,National player,International matches,Market value,Posición,País,To Pais
2943,Jeaustine Monge,https://www.transfermarkt.com/jeaustine-monge/profil/spieler/706581,"Jul 1, 2020",PZ U20,Pérez Zeledón,"Jun 30, 2002 ",18.0,No national team players,-,-,Forward,Costa Rica,Costa Rica
2944,Anderson Barboza,https://www.transfermarkt.com/anderson-barboza/profil/spieler/730650,"Jul 1, 2020",PZ U20,Pérez Zeledón,"Apr 5, 2002 ",18.0,No national team players,-,-,Midfielder,Costa Rica,Costa Rica
2945,Leonardo Castillo,https://www.transfermarkt.com/leonardo-castillo/profil/spieler/783912,"Jul 1, 2020",PZ U20,Pérez Zeledón,"Mar 2, 2001 ",19.0,No national team players,-,-,Midfielder,Costa Rica,Costa Rica
2946,Justin Vargas,https://www.transfermarkt.com/justin-vargas/profil/spieler/742597,"Jul 1, 2020",PZ U20,Pérez Zeledón,"Oct 2, 2001 ",18.0,No national team players,-,-,Goalkeeper,Costa Rica,Costa Rica
2947,Santiago Fernández,https://www.transfermarkt.com/santiago-fernandez/profil/spieler/411595,"Jan 1, 2016",PZ U20,Pérez Zeledón,,,No national team players,-,-,Goalkeeper,Costa Rica,Costa Rica
2948,Porfirio López,https://www.transfermarkt.com/porfirio-lopez/profil/spieler/156056,"Jan 4, 2017",Career break,Pérez Zeledón,"Sep 10, 1985 ",34.0,Costa RicaNo current national team players,7,€175Th.,Centre-Back,Costa Rica,Costa Rica
2949,Francisco Ramírez,https://www.transfermarkt.com/francisco-ramirez/profil/spieler/736755,"Jan 1, 2020",Golfito,Pérez Zeledón,"Aug 12, 1999 ",21.0,No national team players,-,€50Th.,Defensive Midfield,Costa Rica,Costa Rica
2950,Josué Mitchell,https://www.transfermarkt.com/josue-mitchell/profil/spieler/195384,"Jul 1, 2014",Juv. Escazuceña,Pérez Zeledón,"Nov 11, 1989 ",30.0,Costa RicaNo current national team players,1,€200Th.,Centre-Forward,Costa Rica,Costa Rica
2951,Sebastián Sánchez,https://www.transfermarkt.com/sebastian-sanchez/profil/spieler/281786,"Jul 1, 2014",Juv. Escazuceña,Pérez Zeledón,"Dec 24, 1988 ",31.0,No national team players,-,-,Midfielder,Costa Rica,Costa Rica
2952,Luis Alpízar,https://www.transfermarkt.com/luis-alpizar/profil/spieler/364448,"Feb 3, 2016",Juv. Escazuceña,Pérez Zeledón,"May 23, 1995 ",25.0,Costa RicaCurrent national team players,-,€175Th.,Goalkeeper,Costa Rica,Costa Rica
2953,Minor Álvarez,https://www.transfermarkt.com/minor-alvarez/profil/spieler/128548,"Jan 1, 2017",Mpl. San Ramón,Pérez Zeledón,"Nov 14, 1989 ",30.0,Costa RicaNo current national team players,-,-,Goalkeeper,Costa Rica,Costa Rica
2954,Andrey Francis,https://www.transfermarkt.com/andrey-francis/profil/spieler/195161,"Jan 1, 2019",CSD Municipal,Pérez Zeledón,"Dec 15, 1990 ",29.0,Costa RicaNo current national team players,-,€175Th.,Right Winger,Guatemala,Costa Rica
2955,Keilor Soto,https://www.transfermarkt.com/keilor-soto/profil/spieler/90850,"Jul 1, 2016",CSD Municipal,Pérez Zeledón,"Jul 26, 1984 ",36.0,Costa RicaNo current national team players,3,€175Th.,Centre-Back,Guatemala,Costa Rica
2956,Pedro Mora,https://www.transfermarkt.com/pedro-mora/profil/spieler/308558,"Jan 1, 2014",PZ U17,Pérez Zeledón,"Mar 16, 1993 ",27.0,No national team players,-,-,Midfielder,Costa Rica,Costa Rica
2957,Anthony Mata,https://www.transfermarkt.com/anthony-mata/profil/spieler/353622,"Jan 1, 2015",PZ U17,Pérez Zeledón,"Jul 28, 1995 ",25.0,No national team players,-,€100Th.,Right Midfield,Costa Rica,Costa Rica
2958,Óscar Villalobos,https://www.transfermarkt.com/oscar-villalobos/profil/spieler/195425,"Jul 1, 2013",Osa,Pérez Zeledón,"Aug 15, 1990 ",30.0,No national team players,-,-,Defensive Midfield,Costa Rica,Costa Rica
2959,Kenny Cunningham,https://www.transfermarkt.com/kenny-cunningham/profil/spieler/195463,"Jul 1, 2019",Malacateco,Pérez Zeledón,"Jun 7, 1985 ",35.0,Costa RicaNo current national team players,14,€125Th.,Centre-Forward,Guatemala,Costa Rica
2960,José Garro,https://www.transfermarkt.com/jose-garro/profil/spieler/26650,"Jul 1, 2006",Fredrikstad,Pérez Zeledón,"Jun 7, 1986 ",34.0,No national team players,-,€100Th.,Centre-Back,Noruega,Costa Rica
2961,Gherland McDonald,https://www.transfermarkt.com/gherland-mcdonald/profil/spieler/37307,"Jan 1, 2007",Fredrikstad,Pérez Zeledón,"Sep 6, 1986 ",33.0,No national team players,-,-,Forward,Noruega,Costa Rica
2962,Raúl Fernández,https://www.transfermarkt.com/raul-fernandez/profil/spieler/214819,"Jul 1, 2015",Carchá,Pérez Zeledón,"Jul 29, 1984 ",36.0,No national team players,-,-,Left-Back,Guatemala,Costa Rica
2963,Josué Mitchell,https://www.transfermarkt.com/josue-mitchell/profil/spieler/195384,"Jul 1, 2020",Cobán Imperial,Pérez Zeledón,"Nov 11, 1989 ",30.0,Costa RicaNo current national team players,1,€200Th.,Centre-Forward,Guatemala,Costa Rica
2964,Néstor Monge,https://www.transfermarkt.com/nestor-monge/profil/spieler/195536,"Jul 13, 2020",Cafetaleros,Pérez Zeledón,"Jan 7, 1990 ",30.0,Costa RicaNo current national team players,6,€200Th.,Defensive Midfield,MX,Costa Rica
2965,Michael Myers,https://www.transfermarkt.com/michael-myers/profil/spieler/584244,"Jul 1, 1999",Xelajú,Pérez Zeledón,"Apr 1, 1968 ",52.0,Costa RicaNo current national team players,12,-,Forward,Guatemala,Costa Rica
2966,Dexter Lewis,https://www.transfermarkt.com/dexter-lewis/profil/spieler/86086,"Jan 1, 2005",Ramonense,Pérez Zeledón,"Feb 2, 1981 ",39.0,Costa RicaNo current national team players,2,€75Th.,Goalkeeper,Costa Rica,Costa Rica
2967,César Elizondo,https://www.transfermarkt.com/cesar-elizondo/profil/spieler/111785,"Jan 12, 2016",San Antonio,Pérez Zeledón,"Feb 10, 1988 ",32.0,Costa RicaNo current national team players,10,€150Th.,Centre-Forward,USA,Costa Rica
2968,César Elizondo,https://www.transfermarkt.com/cesar-elizondo/profil/spieler/111785,"Jan 1, 2019",San Antonio FC,Pérez Zeledón,"Feb 10, 1988 ",32.0,Costa RicaNo current national team players,10,€150Th.,Centre-Forward,USA,Costa Rica
2969,Randall Porras,https://www.transfermarkt.com/randall-porras/profil/spieler/107692,"Jan 1, 2011",AD Desamparados,Pérez Zeledón,"Jan 28, 1979 ",41.0,No national team players,-,-,Centre-Back,Costa Rica,Costa Rica
2970,Kenneth García,https://www.transfermarkt.com/kenneth-garcia/profil/spieler/195535,"Jan 1, 2009",Liberia Mía,Pérez Zeledón,"May 14, 1982 ",38.0,No national team players,-,-,Defensive Midfield,Costa Rica,Costa Rica
2971,Osman López,https://www.transfermarkt.com/osman-lopez/profil/spieler/90842,"Jul 1, 2004",Santa Bárbara,Pérez Zeledón,"Dec 16, 1979 ",40.0,Colombia,1,-,Defensive Midfield,Costa Rica,Costa Rica
2972,William Sunsin,https://www.transfermarkt.com/william-sunsin/profil/spieler/38014,"Jul 1, 2004",Santa Bárbara,Pérez Zeledón,"May 12, 1977 ",43.0,Costa RicaNo current national team players,35,-,Centre-Forward,Costa Rica,Costa Rica
2973,Michael Rodríguez,https://www.transfermarkt.com/michael-rodriguez/profil/spieler/38665,"Jul 1, 2013",United Sikkim,Pérez Zeledón,"Dec 30, 1981 ",38.0,Costa RicaNo current national team players,3,-,Centre-Back,India,Costa Rica
2974,Fárlen Ilama,https://www.transfermarkt.com/farlen-ilama/profil/spieler/713938,"Jul 1, 2003",Municipal Osa,Pérez Zeledón,"Aug 23, 1972 ",48.0,Costa RicaNo current national team players,7,-,Forward,Costa Rica,Costa Rica
2975,Roberth Arias,https://www.transfermarkt.com/roberth-arias/profil/spieler/122556,"Jan 1, 2014",Heredia,Pérez Zeledón,"Mar 18, 1980 ",40.0,Costa RicaNo current national team players,7,-,Centre-Back,Guatemala,Costa Rica
2976,Floyd Guthrie,https://www.transfermarkt.com/floyd-guthrie/profil/spieler/265240,"Jul 1, 2002",Correcaminos,Pérez Zeledón,"Mar 14, 1966 ",54.0,Costa RicaNo current national team players,18,-,Midfielder,MX,Costa Rica
2977,Shain Brown,https://www.transfermarkt.com/shain-brown/profil/spieler/486279,"Jan 1, 2015",Alajuelense U20,Without Club,"Jan 25, 1996 ",24.0,No national team players,-,€175Th.,Right-Back,Costa Rica,Without Club
2978,Verny Ramírez,https://www.transfermarkt.com/verny-ramirez/profil/spieler/200916,"Jul 1, 2013",LD Alajuelense,Without Club,"Apr 4, 1990 ",30.0,No national team players,-,-,Right-Back,Costa Rica,Without Club
2979,Argenis Fernández,https://www.transfermarkt.com/argenis-fernandez/profil/spieler/70856,"Jul 1, 2012",LD Alajuelense,Without Club,"Apr 3, 1987 ",33.0,Costa RicaNo current national team players,2,€225Th.,Right Winger,Costa Rica,Without Club
2980,Juan Guzmán,https://www.transfermarkt.com/juan-guzman/profil/spieler/161672,"Feb 23, 2015",LD Alajuelense,Without Club,"Jun 17, 1987 ",33.0,Costa RicaNo current national team players,4,€75Th.,Defensive Midfield,Costa Rica,Without Club
2981,Raymon Fernández,https://www.transfermarkt.com/raymon-fernandez/profil/spieler/267467,"Oct 28, 2014",LD Alajuelense,Without Club,"Mar 13, 1988 ",32.0,No national team players,-,-,Right-Back,Costa Rica,Without Club
2982,Fabián Rojas,https://www.transfermarkt.com/fabian-rojas/profil/spieler/122715,"Oct 21, 2013",Belén,Without Club,"May 24, 1988 ",32.0,No national team players,-,-,Left Midfield,Costa Rica,Without Club
2983,Christian Carrillo,https://www.transfermarkt.com/christian-carrillo/profil/spieler/235336,"Oct 21, 2013",Belén,Without Club,"Jun 30, 1980 ",40.0,No national team players,-,-,Centre-Forward,Costa Rica,Without Club
2984,Seemore Johnson,https://www.transfermarkt.com/seemore-johnson/profil/spieler/234483,"Jan 1, 2016",CS Uruguay,Without Club,"Oct 29, 1991 ",28.0,No national team players,-,€150Th.,Centre-Back,Costa Rica,Without Club
2985,Erick Sánchez,https://www.transfermarkt.com/erick-sanchez/profil/spieler/121695,"Jul 1, 2020",CS Uruguay,Without Club,"Mar 8, 1988 ",32.0,Costa RicaNo current national team players,-,-,Goalkeeper,Costa Rica,Without Club
2986,Shaquille Jiménez,https://www.transfermarkt.com/shaquille-jimenez/profil/spieler/336598,"Jul 1, 2020",CS Uruguay,Without Club,"Mar 29, 1996 ",24.0,No national team players,-,-,Right-Back,Costa Rica,Without Club
2987,Randall Leal,https://www.transfermarkt.com/randall-leal/profil/spieler/297786,"Jan 28, 2015",Belén FC,Without Club,"Jan 14, 1997 ",23.0,Costa RicaNo current national team players,16,€300Th.,Left Winger,Costa Rica,Without Club
2988,Alexánder Robinson,https://www.transfermarkt.com/alexander-robinson/profil/spieler/111792,"Jan 1, 2015",Saprissa,Without Club,"Nov 21, 1988 ",31.0,No national team players,-,€175Th.,Centre-Back,Costa Rica,Without Club
2989,Esteban Sirias,https://www.transfermarkt.com/esteban-sirias/profil/spieler/113869,"Jan 1, 2012",Saprissa,Without Club,"Oct 3, 1980 ",39.0,Costa RicaNo current national team players,13,-,Left-Back,Costa Rica,Without Club
2990,Wilson Muñoz,https://www.transfermarkt.com/wilson-munoz/profil/spieler/213357,"Jul 1, 2006",Saprissa,Without Club,"Feb 5, 1975 ",45.0,No national team players,-,-,Midfielder,Costa Rica,Without Club
2991,Randall Porras,https://www.transfermarkt.com/randall-porras/profil/spieler/107692,"Aug 1, 2009",Saprissa,Without Club,"Jan 28, 1979 ",41.0,No national team players,-,-,Centre-Back,Costa Rica,Without Club
2992,Owen Solís,https://www.transfermarkt.com/owen-solis/profil/spieler/266726,"Jan 1, 2014",UCR,Without Club,"May 12, 1987 ",33.0,No national team players,-,€250Th.,Centre-Back,Costa Rica,Without Club
2993,Érick Zúñiga,https://www.transfermarkt.com/erick-zuniga/profil/spieler/331962,"Oct 17, 2017",AD Carmelita,Without Club,"Apr 20, 1994 ",26.0,No national team players,-,-,Centre-Forward,Costa Rica,Without Club
2994,Hansell Arauz,https://www.transfermarkt.com/hansell-arauz/profil/spieler/128352,"Jan 1, 2018",AD Carmelita,Without Club,"Aug 9, 1989 ",31.0,Costa RicaNo current national team players,-,-,Right Midfield,Costa Rica,Without Club
2995,Marco Barrantes,https://www.transfermarkt.com/marco-barrantes/profil/spieler/350427,"Jan 1, 2016",AD Carmelita,Without Club,"Apr 28, 1995 ",25.0,No national team players,-,€175Th.,Left-Back,Costa Rica,Without Club
2996,Alexander Castro,https://www.transfermarkt.com/alexander-castro/profil/spieler/35370,"Jul 1, 2008",Herediano,Without Club,"Feb 14, 1979 ",41.0,Costa RicaNo current national team players,22,-,Right-Back,Costa Rica,Without Club
2997,Alexander Castro,https://www.transfermarkt.com/alexander-castro/profil/spieler/35370,"Nov 1, 2011",Herediano,Without Club,"Feb 14, 1979 ",41.0,Costa RicaNo current national team players,22,-,Right-Back,Costa Rica,Without Club
2998,Carlos Castro,https://www.transfermarkt.com/carlos-castro/profil/spieler/15855,"Aug 1, 2011",Herediano,Without Club,"Sep 10, 1978 ",41.0,Costa RicaNo current national team players,48,-,Left-Back,Costa Rica,Without Club
2999,Johnny Aguilar,https://www.transfermarkt.com/johnny-aguilar/profil/spieler/214803,"Sep 29, 2015",Santos FC,Without Club,"Sep 24, 1983 ",36.0,No national team players,-,-,Goalkeeper,Costa Rica,Without Club
3000,Andy Furtado,https://www.transfermarkt.com/andy-furtado/profil/spieler/102375,"Jul 8, 2013",Santos FC,Without Club,"Oct 30, 1980 ",39.0,Costa RicaNo current national team players,9,-,Centre-Forward,Costa Rica,Without Club
3001,Carlos Johnson,https://www.transfermarkt.com/carlos-johnson/profil/spieler/38230,"Jul 1, 2012",Cartaginés,Without Club,"Jul 10, 1984 ",36.0,Costa RicaNo current national team players,14,€150Th.,Right-Back,Costa Rica,Without Club
3002,Josué Salas,https://www.transfermarkt.com/josue-salas/profil/spieler/122597,"Jul 1, 2012",Cartaginés,Without Club,"Mar 4, 1984 ",36.0,No national team players,-,€75Th.,Defender,Costa Rica,Without Club
3003,Edgar Greaves,https://www.transfermarkt.com/edgar-greaves/profil/spieler/235615,"Jul 1, 2013",Cartaginés,Without Club,"May 8, 1984 ",36.0,No national team players,-,-,Forward,Costa Rica,Without Club
3004,Wardy Alfaro,https://www.transfermarkt.com/wardy-alfaro/profil/spieler/38236,"Jul 1, 2012",Cartaginés,Without Club,"Dec 31, 1977 ",42.0,Costa RicaNo current national team players,5,-,Goalkeeper,Costa Rica,Without Club
3005,Steven Barley,https://www.transfermarkt.com/steven-barley/profil/spieler/235331,"Sep 13, 2012",Limón FC,Without Club,"Nov 19, 1987 ",32.0,No national team players,-,€75Th.,Right-Back,Costa Rica,Without Club
3006,Kendrick Pinnock,https://www.transfermarkt.com/kendrick-pinnock/profil/spieler/195163,"Jul 1, 2017",Limón FC,Without Club,"May 30, 1987 ",33.0,No national team players,-,€50Th.,Defensive Midfield,Costa Rica,Without Club
3007,Derrick Johnson,https://www.transfermarkt.com/derrick-johnson/profil/spieler/128523,"Jul 1, 2015",Limón FC,Without Club,"Jul 28, 1989 ",31.0,No national team players,-,-,Centre-Back,Costa Rica,Without Club
3008,Kareem McLean,https://www.transfermarkt.com/kareem-mclean/profil/spieler/195156,"Jul 1, 2014",Limón FC,Without Club,"Jul 14, 1983 ",37.0,Costa RicaNo current national team players,1,€75Th.,Centre-Back,Costa Rica,Without Club
3009,Shaquille Jiménez,https://www.transfermarkt.com/shaquille-jimenez/profil/spieler/336598,"Jan 1, 2019",Limón FC,Without Club,"Mar 29, 1996 ",24.0,No national team players,-,-,Right-Back,Costa Rica,Without Club
3010,Jesús Chaves,https://www.transfermarkt.com/jesus-chaves/profil/spieler/736761,"Jul 1, 2020",Limón FC,Without Club,"May 1, 1998 ",22.0,No national team players,-,€100Th.,Centre-Forward,Costa Rica,Without Club
3011,Olger Guzmán,https://www.transfermarkt.com/olger-guzman/profil/spieler/111921,"Jul 1, 2015",Grecia,Without Club,"Apr 7, 1987 ",33.0,No national team players,-,-,Left-Back,Costa Rica,Without Club
3012,Kevin Chinchilla,https://www.transfermarkt.com/kevin-chinchilla/profil/spieler/709993,"Jul 1, 2020",Grecia,Without Club,"Oct 16, 1996 ",23.0,No national team players,-,€100Th.,Left-Back,Costa Rica,Without Club
3013,Jake Beckford,https://www.transfermarkt.com/jake-beckford/profil/spieler/240127,"Jul 1, 2020",Pérez Zeledón,Without Club,"Jul 31, 1994 ",26.0,No national team players,-,€125Th.,Central Midfield,Costa Rica,Without Club
3014,Daniel Ramírez,https://www.transfermarkt.com/daniel-ramirez/profil/spieler/236190,"Sep 3, 2015",Pérez Zeledón,Without Club,"Apr 21, 1992 ",28.0,No national team players,-,€50Th.,Attacking Midfield,Costa Rica,Without Club
3015,Porfirio López,https://www.transfermarkt.com/porfirio-lopez/profil/spieler/156056,"Sep 27, 2019",Pérez Zeledón,Without Club,"Sep 10, 1985 ",34.0,Costa RicaNo current national team players,7,€175Th.,Centre-Back,Costa Rica,Without Club
3016,José Sánchez,https://www.transfermarkt.com/jose-sanchez/profil/spieler/122686,"Jul 1, 2020",Pérez Zeledón,Without Club,"May 20, 1987 ",33.0,Costa RicaNo current national team players,2,€150Th.,Right Midfield,Costa Rica,Without Club
3017,Jorge Ramírez,https://www.transfermarkt.com/jorge-ramirez/profil/spieler/214968,"Jul 1, 2020",Pérez Zeledón,Without Club,"Apr 10, 1989 ",31.0,No national team players,-,€100Th.,Centre-Back,Costa Rica,Without Club
3018,Juan Guzmán,https://www.transfermarkt.com/juan-guzman/profil/spieler/161672,"Jan 1, 2018",Pérez Zeledón,Without Club,"Jun 17, 1987 ",33.0,Costa RicaNo current national team players,4,€75Th.,Defensive Midfield,Costa Rica,Without Club
3019,Néstor Mena,https://www.transfermarkt.com/nestor-mena/profil/spieler/242829,"Jul 1, 2020",Pérez Zeledón,Without Club,"Jan 30, 1988 ",32.0,No national team players,-,€75Th.,Goalkeeper,Costa Rica,Without Club
3020,Álvaro Sánchez,https://www.transfermarkt.com/alvaro-sanchez/profil/spieler/108462,"Oct 4, 2018",Pérez Zeledón,Without Club,"Aug 2, 1984 ",36.0,Costa RicaNo current national team players,12,€100Th.,Attacking Midfield,Costa Rica,Without Club
3021,Álvaro Sánchez,https://www.transfermarkt.com/alvaro-sanchez/profil/spieler/108462,"Aug 14, 2019",Pérez Zeledón,Without Club,"Aug 2, 1984 ",36.0,Costa RicaNo current national team players,12,€100Th.,Attacking Midfield,Costa Rica,Without Club
3022,Dexter Lewis,https://www.transfermarkt.com/dexter-lewis/profil/spieler/86086,"Jan 20, 2016",Pérez Zeledón,Without Club,"Feb 2, 1981 ",39.0,Costa RicaNo current national team players,2,€75Th.,Goalkeeper,Costa Rica,Without Club
3023,Héiner Mora,https://www.transfermarkt.com/heiner-mora/profil/spieler/125410,"Feb 26, 2020",Pérez Zeledón,Without Club,"Jun 20, 1984 ",36.0,Costa RicaNo current national team players,22,€75Th.,Right-Back,Costa Rica,Without Club
3024,Marco Barrantes,https://www.transfermarkt.com/marco-barrantes/profil/spieler/350427,"Jul 1, 2020",Pérez Zeledón,Without Club,"Apr 28, 1995 ",25.0,No national team players,-,€175Th.,Left-Back,Costa Rica,Without Club
3025,Erick Sánchez,https://www.transfermarkt.com/erick-sanchez/profil/spieler/121695,"Sep 19, 2017",Liberia,Without Club,"Mar 8, 1988 ",32.0,Costa RicaNo current national team players,-,-,Goalkeeper,Costa Rica,Without Club
3026,Luis Diego Cordero,https://www.transfermarkt.com/luis-diego-cordero/profil/spieler/179571,"Jan 1, 2016",Liberia,Without Club,"May 21, 1988 ",32.0,Costa RicaNo current national team players,1,-,Left Midfield,Costa Rica,Without Club
3027,Eduardo Valverde,https://www.transfermarkt.com/eduardo-valverde/profil/spieler/210377,"Oct 24, 2017",Liberia,Without Club,"Apr 10, 1982 ",38.0,Costa RicaNo current national team players,4,-,Right Midfield,Costa Rica,Without Club
3028,Daniel Varela,https://www.transfermarkt.com/daniel-varela/profil/spieler/128547,"Mar 5, 2013",AD San Carlos,Without Club,"Apr 30, 1990 ",30.0,No national team players,-,-,Central Midfield,Costa Rica,Without Club
3029,Guillermo Camacho,https://www.transfermarkt.com/guillermo-camacho/profil/spieler/195445,"Jul 1, 2013",AD San Carlos,Without Club,"Apr 25, 1990 ",30.0,No national team players,-,-,Goalkeeper,Costa Rica,Without Club
3030,Bill González,https://www.transfermarkt.com/bill-gonzalez/profil/spieler/195465,"Jan 1, 2012",AD San Carlos,Without Club,"Nov 18, 1978 ",41.0,No national team players,-,-,Centre-Forward,Costa Rica,Without Club
3031,Ronny Mora,https://www.transfermarkt.com/ronny-mora/profil/spieler/266934,"Jul 1, 2019",La U,Without Club,"Mar 6, 1990 ",30.0,No national team players,-,€100Th.,Right Winger,Costa Rica,Without Club
3032,Johan Condega,https://www.transfermarkt.com/johan-condega/profil/spieler/231151,"Aug 19, 2019",La U,Without Club,"Mar 15, 1984 ",36.0,Costa RicaNo current national team players,2,€75Th.,Attacking Midfield,Costa Rica,Without Club
3033,Johnny Woodly,https://www.transfermarkt.com/johnny-woodly/profil/spieler/143783,"Aug 19, 2019",La U,Without Club,"Jul 27, 1980 ",40.0,Costa RicaNo current national team players,-,-,Centre-Forward,Costa Rica,Without Club
3034,Joel Hall,https://www.transfermarkt.com/joel-hall/profil/spieler/215459,"Jul 1, 2015",Barrio México,Without Club,"Aug 14, 1990 ",30.0,No national team players,-,-,Right Midfield,Costa Rica,Without Club
3035,Jason Scott,https://www.transfermarkt.com/jason-scott/profil/spieler/195391,"Jul 1, 2020",Guadalupe FC,Without Club,"Mar 24, 1985 ",35.0,No national team players,-,€50Th.,Centre-Back,Costa Rica,Without Club
3036,Julián Maroto,https://www.transfermarkt.com/julian-maroto/profil/spieler/241217,"Jan 1, 2016",AD Aserrí,Without Club,"May 2, 1993 ",27.0,No national team players,-,€100Th.,Central Midfield,Costa Rica,Without Club
3037,Kendall Grant,https://www.transfermarkt.com/kendall-grant/profil/spieler/307264,"Jan 1, 2016",AD Aserrí,Without Club,"Feb 19, 1993 ",27.0,No national team players,-,-,Forward,Costa Rica,Without Club
3038,David Porras,https://www.transfermarkt.com/david-porras/profil/spieler/250949,"Sep 15, 2014",ADR Jicaral,Without Club,"Jul 8, 1994 ",26.0,No national team players,-,-,Centre-Forward,Costa Rica,Without Club
3039,Pablo Herrera,https://www.transfermarkt.com/pablo-herrera/profil/spieler/102381,"Jan 1, 2012",Aalesund,Without Club,"Feb 14, 1987 ",33.0,Costa RicaNo current national team players,28,€100Th.,Right Midfield,Noruega,Without Club
3040,Kervin Kenton,https://www.transfermarkt.com/kervin-kenton/profil/spieler/309014,"Aug 1, 2019",Chanticleers,Without Club,N/A ,24.0,No national team players,-,-,Centre-Back,USA,Without Club
3041,Ricky Garbanzo,https://www.transfermarkt.com/ricky-garbanzo/profil/spieler/367062,"Dec 1, 2017",Charleston,Without Club,"Aug 26, 1992 ",27.0,No national team players,-,€100Th.,Second Striker,USA,Without Club
3042,Diego Calvo,https://www.transfermarkt.com/diego-calvo/profil/spieler/192315,"Jan 1, 2019",Puntarenas FC,Without Club,"Mar 25, 1991 ",29.0,Costa RicaNo current national team players,10,-,Left Winger,Costa Rica,Without Club
3043,Maykol Ortiz,https://www.transfermarkt.com/maykol-ortiz/profil/spieler/181761,"Oct 26, 2012",Puntarenas FC,Without Club,"Sep 23, 1985 ",34.0,No national team players,-,-,Left Midfield,Costa Rica,Without Club
3044,Fabricio Fallas,https://www.transfermarkt.com/fabricio-fallas/profil/spieler/195160,"Sep 11, 2012",Puntarenas FC,Without Club,"Jan 26, 1987 ",33.0,No national team players,-,-,Centre-Forward,Costa Rica,Without Club
3045,Rafael Núñez,https://www.transfermarkt.com/rafael-nunez/profil/spieler/194499,"Jan 1, 2012",Puntarenas FC,Without Club,"Apr 9, 1984 ",36.0,No national team players,-,€100Th.,Centre-Back,Costa Rica,Without Club
3046,Mario Camacho,https://www.transfermarkt.com/mario-camacho/profil/spieler/132225,"Jul 1, 2015",Puntarenas FC,Without Club,"Aug 7, 1983 ",37.0,Costa RicaNo current national team players,3,-,Centre-Forward,Costa Rica,Without Club
3047,Warner Hernández,https://www.transfermarkt.com/warner-hernandez/profil/spieler/194497,"Jul 1, 2012",Puntarenas FC,Without Club,"Oct 11, 1980 ",39.0,No national team players,-,-,Goalkeeper,Costa Rica,Without Club
3048,Dan Jackson,https://www.transfermarkt.com/dan-jackson/profil/spieler/424201,"May 1, 2015",UNCA Bulldogs,Without Club,"Oct 24, 1993 ",26.0,No national team players,-,€50Th.,Goalkeeper,USA,Without Club
3049,Dan Jackson,https://www.transfermarkt.com/dan-jackson/profil/spieler/424201,"Dec 1, 2017",Switchbacks FC,Without Club,"Oct 24, 1993 ",26.0,No national team players,-,€50Th.,Goalkeeper,USA,Without Club
3050,Dan Jackson,https://www.transfermarkt.com/dan-jackson/profil/spieler/424201,"Sep 1, 2018",Real Monarchs,Without Club,"Oct 24, 1993 ",26.0,No national team players,-,€50Th.,Goalkeeper,USA,Without Club
3051,Daniel Valenciano,https://www.transfermarkt.com/daniel-valenciano/profil/spieler/302034,"Jul 10, 2020",Chattanooga FC,Without Club,"May 21, 1993 ",27.0,No national team players,-,€50Th.,Central Midfield,USA,Without Club
3052,Fabián Rojas,https://www.transfermarkt.com/fabian-rojas/profil/spieler/122715,"Jan 1, 2016",Juv. Escazuceña,Without Club,"May 24, 1988 ",32.0,No national team players,-,-,Left Midfield,Costa Rica,Without Club
3053,Alexánder Robinson,https://www.transfermarkt.com/alexander-robinson/profil/spieler/111792,"Jan 28, 2016",Antigua GFC,Without Club,"Nov 21, 1988 ",31.0,No national team players,-,€175Th.,Centre-Back,Guatemala,Without Club
3054,Fabián Rojas,https://www.transfermarkt.com/fabian-rojas/profil/spieler/122715,"Jul 1, 2013",Antigua GFC,Without Club,"May 24, 1988 ",32.0,No national team players,-,-,Left Midfield,Guatemala,Without Club
3055,Fabio Villarreal,https://www.transfermarkt.com/fabio-villarreal/profil/spieler/121696,"Jul 1, 2010",Águilas,Without Club,"Dec 13, 1989 ",30.0,No national team players,-,-,Forward,Costa Rica,Without Club
3056,Roy Miller,https://www.transfermarkt.com/roy-miller/profil/spieler/36454,"Jan 1, 2019",Timbers,Without Club,"Nov 24, 1984 ",35.0,Costa RicaNo current national team players,57,€200Th.,Centre-Back,USA,Without Club
3057,José Mena,https://www.transfermarkt.com/jose-mena/profil/spieler/128505,"Jul 1, 2014",Bangkok Glass,Without Club,"Feb 2, 1989 ",31.0,Costa RicaNo current national team players,9,€225Th.,Centre-Back,Tailandia,Without Club
3058,Kevin Fajardo,https://www.transfermarkt.com/kevin-fajardo/profil/spieler/175326,"Oct 31, 2015",Cobán Imperial,Without Club,"Sep 5, 1989 ",30.0,Costa RicaNo current national team players,1,€250Th.,Centre-Back,Guatemala,Without Club
3059,Álvaro Guerrero,https://www.transfermarkt.com/alvaro-guerrero/profil/spieler/214823,"Aug 30, 2012",Cobán Imperial,Without Club,"Nov 28, 1985 ",34.0,No national team players,-,-,Forward,Guatemala,Without Club
3060,Josué Martínez,https://www.transfermarkt.com/josue-martinez/profil/spieler/128530,"Mar 29, 2013",NY Red Bulls,Without Club,"Mar 25, 1990 ",30.0,Costa RicaNo current national team players,16,€175Th.,Centre-Forward,USA,Without Club
